PLC Current cycle time,PLC The shortest cycle time,PLC The longest cycle time,PLC Min runtime,PLC Max runtime,PLC Running Status,Current_time,Pump Speed,SG lEVEL,Year,Month,Day,Hour,Minute,Second,Millisecond,label,CycleTimeDifference,MaxRuntimeRatio,longestimetimeRatio,cycle_maxrun,RF_Predictions,SVM_Predictions,GB_Predictions,LR_Predictions,XGboost_Predictions,NN_Binary_Predictions
1083967,1001561,0,0,2063000,0,30:20.6,100.0,14.40172672,2024,1,23,1,30,20,618,Normal,0.0,1.9031944699423506,0.0,0.0,1,1,0,1,0,1
1010590,1001561,0,0,2063000,0,30:20.6,100.0,14.40172672,2024,1,23,1,30,20,625,Normal,73377.0,2.0413817670865533,0.0,35944.77093068347,1,0,1,0,0,0
1140260,1001561,0,0,2063000,0,30:20.6,100.0,14.40172672,2024,1,23,1,30,20,632,Normal,129670.0,1.8092364899233508,0.0,71671.11691711101,1,0,1,0,0,0
1010764,1001561,0,0,2063000,0,30:20.6,100.0,14.40172672,2024,1,23,1,30,20,637,Normal,129496.0,2.0410303493199202,0.0,63446.38630344159,1,0,1,0,0,0
1012729,1001561,0,0,2063000,0,30:20.6,100.0,14.40172672,2024,1,23,1,30,20,644,Normal,1965.0,2.037070134260992,0.0,964.6206907416383,0,1,1,1,0,0
1009411,1001561,0,0,2063000,0,30:20.7,100.0,14.40172672,2024,1,23,1,30,20,656,Normal,3318.0,2.0437661170722334,0.0,1623.4734357731456,0,1,1,1,0,0
5281902,1001561,0,0,2063000,0,30:20.7,100.0,14.40172672,2024,1,23,1,30,20,663,Normal,4272491.0,0.3905789997618282,0.0,10938865.127427049,0,0,1,0,0,0
1010991,1001561,0,0,2063000,0,30:20.7,100.0,14.40172672,2024,1,23,1,30,20,671,Normal,4270911.0,2.0405720723527705,0.0,2092996.8893848767,0,0,1,0,0,0
1010085,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,678,Normal,906.0,2.0424023720775972,0.0,443.59525448376155,1,1,1,1,0,0
1010744,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,685,Normal,659.0,2.041070736012284,0.0,322.86975084827924,0,1,1,1,0,0
1013999,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,691,Normal,3255.0,2.034518771714765,0.0,1599.8869340765877,0,1,1,1,0,0
1010178,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,699,Normal,3821.0,2.0422143424228207,0.0,1871.0083073194376,0,1,1,1,0,0
1010038,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,706,Normal,140.0,2.0424974109884975,0.0,68.54353853611246,0,1,1,1,0,1
1023149,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,713,Normal,13111.0,2.016324113105716,0.0,6502.426824527387,1,1,1,1,0,0
1053923,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,720,Normal,30774.0,1.9574485043024965,0.0,15721.486380029084,1,0,1,1,0,0
1010399,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,726,Normal,43524.0,2.041767658123177,0.0,21316.823110033933,1,0,1,1,0,0
1027361,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,733,Normal,16962.0,2.0080575377106977,0.0,8446.969113911779,1,1,1,1,0,0
1020115,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,739,Normal,7246.0,2.022321012826985,0.0,3583.0117741153663,1,1,1,1,0,0
1020653,1001561,0,0,2063000,0,30:20.7,100.0,14.40115643,2024,1,23,1,30,20,746,Normal,538.0,2.0212550200704844,0.0,266.17126223945706,0,1,1,1,0,1
1361564,1001561,0,0,2063000,0,30:20.8,100.0,14.40115643,2024,1,23,1,30,20,752,Normal,340911.0,1.5151693199878962,0.0,224998.61599806108,0,0,1,0,0,0
1046122,1001561,0,0,2063000,0,30:20.8,100.0,14.40115643,2024,1,23,1,30,20,758,Normal,315442.0,1.9720453254974086,0.0,159956.76971594765,0,0,1,0,0,0
1009841,1001561,0,0,2063000,0,30:20.8,100.0,14.40115643,2024,1,23,1,30,20,766,Normal,36281.0,2.042895861823792,0.0,17759.5934663112,1,0,1,1,0,0
1038701,1001561,0,0,2063000,0,30:20.8,100.0,14.40115643,2024,1,23,1,30,20,773,Normal,28860.0,1.9861346046648651,0.0,14530.737207949587,1,0,1,1,0,0
1009499,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,779,Normal,29202.0,2.043587957987081,0.0,14289.573338826951,1,0,1,1,0,0
1010106,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,786,Normal,607.0,2.042359910742041,0.0,297.205206980126,0,1,1,1,0,0
1011156,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,792,Normal,1050.0,2.040239092682039,0.0,514.645564711585,1,1,1,1,0,0
1012809,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,799,Normal,1653.0,2.0369092296770663,0.0,811.5236437227339,0,1,1,1,0,0
1010398,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,805,Normal,2411.0,2.041769678879016,0.0,1180.8383800290837,0,1,1,1,0,0
1061236,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,812,Normal,50838.0,1.9439596847449578,0.0,26151.77691129423,1,0,1,1,0,0
1011407,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,818,Normal,49829.0,2.0397327683118665,0.0,24429.18051526903,1,0,1,1,0,0
1034903,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,824,Normal,23496.0,1.993423538244647,0.0,11786.757580222977,1,1,1,1,0,0
1273197,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,831,Normal,238294.0,1.6203305537163535,0.0,147065.0537653902,0,0,1,0,0,0
1023018,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,838,Normal,250179.0,2.0165823084246806,0.0,124060.89201260301,1,0,1,0,0,0
1012364,1001561,0,0,2063000,0,30:20.8,100.0,14.40058327,2024,1,23,1,30,20,844,Normal,10654.0,2.0378045841219166,0.0,5228.1754997576345,1,1,1,1,0,0
1010062,1001561,0,0,2063000,0,30:20.9,100.0,14.40058327,2024,1,23,1,30,20,851,Normal,2302.0,2.0424488793757214,0.0,1127.0783926320892,0,1,1,1,0,0
1016159,1001561,0,0,2063000,0,30:20.9,100.0,14.40058327,2024,1,23,1,30,20,857,Normal,6097.0,2.0301940936408576,0.0,3003.1611357246725,1,1,1,1,0,0
1011911,1001561,0,0,2063000,0,30:20.9,100.0,14.40058327,2024,1,23,1,30,20,864,Normal,4248.0,2.038716843674987,0.0,2083.663561803199,0,1,1,1,0,0
1414686,1001561,0,0,2063000,0,30:20.9,100.0,14.40058327,2024,1,23,1,30,20,871,Normal,402775.0,1.4582741329171278,0.0,276199.7836403296,0,0,1,0,0,0
3076570,1001561,0,0,2063000,0,30:20.9,100.0,14.40000725,2024,1,23,1,30,20,879,Normal,1661884.0,0.6705519458357847,0.0,2478382.189956374,0,0,1,0,0,0
1012498,1001561,0,0,2063000,0,30:20.9,100.0,14.40000725,2024,1,23,1,30,20,886,Normal,2064072.0,2.0375348889578055,0.0,1013024.125960252,0,0,1,0,0,0
